"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"SNF8",0.0199915953528896,9.46081539432462,0.0718155380646025,0.943082988380226,0.996863708343732,-5.05593184877263,FALSE,FALSE,FALSE,"SNF8",FALSE
"COPB1",-0.00989550235973036,9.40524907498475,-0.0717636809956872,0.943124015245376,0.996863708343732,-5.05593414713754,FALSE,FALSE,FALSE,"COPB1",FALSE
"THRAP3",0.0119998577467347,7.42113251322225,0.0717257441482784,0.943154029187294,0.996863708343732,-5.05593582749103,FALSE,FALSE,FALSE,"THRAP3",FALSE
"LAMB3",0.0467048925360627,8.94659794614045,0.0717106352932707,0.943165982662884,0.996863708343732,-5.05593649646689,FALSE,FALSE,FALSE,"LAMB3",FALSE
"PORCN",0.0271382685830948,8.67980427531061,0.0715612151414288,0.943284198167059,0.996863708343732,-5.0559431047674,FALSE,FALSE,FALSE,"PORCN",FALSE
"IL32",0.0442025883921287,9.2476793362452,0.0712900150707062,0.943498764583521,0.996863708343732,-5.0559550637422,FALSE,FALSE,FALSE,"IL32",FALSE
"ANP32E",0.0278029004615098,10.1489747454393,0.0712731935637401,0.943512073460693,0.996863708343732,-5.05595580401675,FALSE,FALSE,FALSE,"ANP32E",FALSE
"AHNAK2",-0.03140194936875,7.88181448763793,-0.0712168387380055,0.943556660515598,0.996863708343732,-5.05595828278616,FALSE,FALSE,FALSE,"AHNAK2",FALSE
"DYNC1LI1",-0.0206493584130897,8.97544800024342,-0.0712085028560597,0.943563255750298,0.996863708343732,-5.05595864927388,FALSE,FALSE,FALSE,"DYNC1LI1",FALSE
"NUCB1",-0.0304962520631134,9.70350210860271,-0.0710203728218525,0.943712102700294,0.996863708343732,-5.05596690902015,FALSE,FALSE,FALSE,"NUCB1",FALSE
"NAP1L4",-0.0116227570185787,7.51837341200722,-0.0704044763117084,0.944199409207731,0.996863708343732,-5.05599379680775,FALSE,FALSE,FALSE,"NAP1L4",FALSE
"PTK2B",0.0148943081441337,7.23525319024543,0.0703899770446684,0.944210881505366,0.996863708343732,-5.05599442697209,FALSE,FALSE,FALSE,"PTK2B",FALSE
"MLH3",0.0145967688652518,8.09074226231307,0.0703564222678533,0.944237431195894,0.996863708343732,-5.05599588482574,FALSE,FALSE,FALSE,"MLH3",FALSE
