"Gene","log2FoldChange","pvalue","padj"
"MTFR1L",0.0894319606443101,0.702105516843231,0.999975617694874
"AUNIP",0.110934061891814,0.835076189782548,0.999975617694874
"PAQR7",-0.0488622096322755,0.889334954259366,0.999975617694874
"STMN1",0.261479383988068,0.501939014091269,0.999975617694874
"PAFAH2",0.044800454926433,0.882707632202897,0.999975617694874
"EXTL1",-0.848045125062695,0.0805377303434189,0.999975617694874
"PDIK1L",-0.32489188517461,0.420622072529033,0.999975617694874
"FAM110D",0.564901929093315,0.22660872406195,0.999975617694874
"ZNF593",-0.242005476313725,0.486257853293856,0.999975617694874
"CNKSR1",0.102222931369505,0.794654253663475,0.999975617694874
"CEP85",0.17791464661928,0.578004939367902,0.999975617694874
"SH3BGRL3",-0.384039418228792,0.192683746065949,0.999975617694874
"UBXN11",-0.857176386394107,0.0757907227884972,0.999975617694874
"CD52",-0.583540439189347,0.287143618154817,0.999975617694874
"CRYBG2",-0.105452039262615,0.877383130265092,0.999975617694874
"ZNF683",0.151934865805181,0.788974988334252,0.999975617694874
"DHDDS",-0.364011925938058,0.0952659411315614,0.999975617694874
"ENSG00000223583",-1.27149881956137,0.0560253044090971,0.971459504300145
"ENSG00000225891",-0.188013526403506,0.690700638818925,0.999975617694874
"HMGN2",0.227102582547778,0.47758381338592,0.999975617694874
"RPS6KA1",-0.149243646622484,0.678008433508462,0.999975617694874
"RN7SL679P",-0.490353860728314,0.500601054231988,0.999975617694874
"ENSG00000260063",-0.0508031005868839,0.891103204664368,0.999975617694874
"ARID1A",0.0806813319818877,0.725512036465001,0.999975617694874
"PIGV",-0.215829611327408,0.454573550577149,0.999975617694874
"ZDHHC18",0.155440738650888,0.536984785551583,0.999975617694874
"SFN",-0.362940512507266,0.542012766133577,0.999975617694874
"GPN2",-0.0901539665989308,0.768070344517695,0.999975617694874
"GPATCH3",0.217201233668768,0.458284356575371,0.999975617694874
